Dv,MARCA,Material,Descripción,      Amount ,Unit,per,UoM,Empaque Mínimo,ABC Code,División.,Marca.
4B,KILLARK,FSRG,NEOPRENE GASKTS SINGLE GANG BX, $1.23 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5H,Outdoor,FLL-28L-95-5K7-W-U-Y-DBT,Configurado Familia - FLL, $910.13 ,USD,1,PZ,1 PZ,-,5H,Outdoor
5H,Outdoor,FLL-42L-95-3K8-W-U-Y-BLT,Configurado Familia - FLL," $1,052.93 ",USD,1,PZ,1 PZ,-,5H,Outdoor
5I,Industrial,FPH-5K-SPC-U-ND-A-2-WH,Configurado Familia - FPH," $1,780.80 ",USD,1,PZ,1 PZ,-,5I,Industrial
4B,KILLARK,FST-1,"3/4"" AL SHALLOW DEV BOX T STYLE", $29.10 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FST-1M,"1/2"" FS BOX SHAL. ""T"" IRON", $42.96 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FST-2,"FST 3/4"" AL SHALL DEV BOX", $26.11 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FST-2M,"3/4"" FS BOX SHAL. ""T"" IRON", $39.47 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FSTG,"FD,FS OUTLET BOXES        (SF)", $15.35 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5H,Outdoor,FSL-10L-25-3K8-W-U-K-DBT,Configurado Familia - FSL, $414.81 ,USD,1,PZ,1 PZ,-,5H,Outdoor
4B,KILLARK,FXB-1,"SPLICE BOX 1/2"" 1GANG DEAD END", $127.86 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FXB-10,"SPLICE BOX 1/2"" 2GANG FEEDTHRU", $265.22 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FXB-11,"SPLICE BOX 3/4"" 2GANG FEEDTHRU", $264.36 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FXB-2,"SPLICE BOX 3/4"" 1GANG DEAD END", $92.17 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5H,Outdoor,FSL-10L-25-4K7-W-U-K-DBT,Configurado Familia - FSL, $415.11 ,USD,1,PZ,1 PZ,-,5H,Outdoor
4B,KILLARK,FXB-4,"SPLICE BOX 1/2"" 1GANG FEEDTHRU", $129.94 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FXB-5,"SPLICE BOX 3/4"" 1GANG FEEDTHRU", $74.32 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5H,Outdoor,FXL-56L-190-5K7-W-U-Y-DB,Configurado Familia - FXL," $1,366.56 ",USD,1,PZ,1 PZ,-,5H,Outdoor
4B,KILLARK,FXB-9,"SPLICE BOX 1"" 2GANG DEAD END", $257.70 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5H,Outdoor,FXL-56L-190-5K7-W-U-Y-DB-PCU-SP,Configurado Familia - FXL," $1,344.50 ",USD,1,PZ,1 PZ,-,5H,Outdoor
4B,KILLARK,FXCS-0B30RL-GL,RL-GL RED/GREEN PILOT, $826.72 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FXCS-0B4,GREEN/RED PUSHBUTTON, $550.39 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5H,Outdoor,FXL-84L-190-3K8-W-U-Y-DB,Configurado Familia - FXL," $1,393.37 ",USD,1,PZ,1 PZ,-,5H,Outdoor
4B,KILLARK,FXCS-0B7,BLCK / BLCK PUSHBTTNS, $714.62 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FXCS-0K3C4,CVR W/ DEVICE 3POS KEYED 1NO/1NC MAINT, $846.04 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5H,Outdoor,FXL-84L-190-4K7-W-U-Y-DBT,Configurado Familia - FXL," $1,393.37 ",USD,1,PZ,1 PZ,-,5H,Outdoor
4B,KILLARK,FXCS-0MMR3-LOM,CVR W/ DEVICE MAINT MUSH LOCK, $894.49 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FXCS-0S2A1,CVR W/ DEVICE 2POS STAND 1NO/1NC MAINT, $708.98 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5H,Outdoor,FXL-84L-190-5K7-W-5-Y-DBT,Configurado Familia - FXL," $1,416.56 ",USD,1,PZ,1 PZ,-,5H,Outdoor
4B,KILLARK,FXCS-0S3C4,CVR W/ DEVICE 3POS STAND 1NO/1NC MAINT, $722.70 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5H,Outdoor,FXL-84L-190-5K7-W-U-Y-BLT-PCU,Configurado Familia - FXL," $1,347.95 ",USD,1,PZ,1 PZ,-,5H,Outdoor
5H,Outdoor,FXL-84L-190-5K7-W-U-Y-DB,Configurado Familia - FXL," $1,393.33 ",USD,1,PZ,1 PZ,-,5H,Outdoor
4B,KILLARK,FXCS-1S2A1,"BOX CVR 2POS STAND 1/2"" DEAD", $931.14 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5H,Outdoor,FXL-84L-190-5K7-W-U-Y-DBT,Configurado Familia - FXL," $1,393.37 ",USD,1,PZ,1 PZ,-,5H,Outdoor
4B,KILLARK,FXCS-2B30RL-GL,"BOX CVR 2PL 3/4"" DEAD RL/GL", $948.78 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5H,Outdoor,FXL-84L-190-5K7-W-U-Y-DBT-PCU,Configurado Familia - FXL," $1,347.95 ",USD,1,PZ,1 PZ,-,5H,Outdoor
4B,KILLARK,FXCS-2K3C4,"BOX CVR 3POS KEYED 3/4"" DEAD 1NO/1NC", $968.10 ,USD,1,PZ,1 PZ,C,4B,KILLARK
5I,Industrial,HBL-48LU-A2-5K-N-070-CD-WH,Configurado Familia - HBL1," $1,119.23 ",USD,1,PZ,1 PZ,-,5I,Industrial
4B,KILLARK,FXCS-2MMR3-M-LO,"MAINTAINED MUSH HD PB W/ LO RED 3/4"" DE", $798.63 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5I,Industrial,HBL-48LU-A2-5K-W-070-ND-GR-ENCG,Configurado Familia - HBL1," $1,421.18 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBL-48LU-Y2-5K-N-070-CD-WH,Configurado Familia - HBL1," $1,243.55 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBL-60LU-A2-5K-N-070-CD-BL,Configurado Familia - HBL1," $1,241.28 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBL-60LU-A2-5K-N-070-CD-WH,Configurado Familia - HBL1," $1,238.14 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBL-60LU-A2-5K-W-070-ND-GR,Configurado Familia - HBL1," $1,252.44 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBL-72LU-A2-5K-N-070-CD-BL,Configurado Familia - HBL1," $1,266.83 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBL-72LU-A2-5K-N-070-ND-GR,Configurado Familia - HBL1," $1,267.35 ",USD,1,PZ,1 PZ,-,5I,Industrial
5H,Outdoor,FXL190Y,FXL-190-Y," $1,063.13 ",USD,1,PZ,1 PZ,M,5H,Outdoor
5I,Industrial,HBL-72LU-A2-5K-W-070-ND-WH,Configurado Familia - HBL1," $1,434.20 ",USD,1,PZ,1 PZ,-,5I,Industrial
5H,Outdoor,FXL56L,FXL-56L, Descontinuado ,USD,1,PZ,1 PZ,M,5H,Outdoor
5I,Industrial,HBL-72LU-X2-35K-N-070-CD-WH,Configurado Familia - HBL1," $1,285.44 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBL-72LU-X2-5K-W-070-ND-WH-WG,Configurado Familia - HBL1," $1,331.43 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBLH-48LU-Y2-5K-A-070-ND-TN,Configurado Familia - HBLH," $1,265.39 ",USD,1,PZ,1 PZ,-,5I,Industrial
5H,Outdoor,FXL56L4K,FXL-56L4K, Descontinuado ,USD,1,PZ,1 PZ,M,5H,Outdoor
5I,Industrial,HBLH-60LU-A2-5K-N-070-ND-TN-ENCG-WG,Configurado Familia - HBLH," $1,547.33 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBLH-72LU-A2-5K-N-070-CD-TN,Configurado Familia - HBLH," $1,135.24 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBLH-72LU-A2-5K-W-070-CD-TN,Configurado Familia - HBLH," $1,248.04 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBLH-72LU-Y2-5K-N-070-CD-TN,Configurado Familia - HBLH," $1,359.02 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBLH-72LU-Y2-5K-N-070-ND-TN,Configurado Familia - HBLH," $1,358.89 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBLHA-48LU-Y2-5K-W-070-ND-BL-WG,Configurado Familia - HBLHA," $1,561.11 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBLHA-72LU-X2-5K-W-070-ND-WH-WG,Configurado Familia - HBLHA," $1,533.43 ",USD,1,PZ,1 PZ,-,5I,Industrial
